request_id,default_payment_next_month
req_000001,0
req_000002,0
req_000003,0
req_000004,0
req_000005,1
req_000006,1
req_000007,0
req_000008,0
req_000009,0
req_000010,0
req_000011,0
req_000012,0
req_000013,0
req_000014,0
req_000015,0
req_000016,0
req_000017,0
req_000018,0
req_000019,0
req_000020,1
req_000021,0
req_000022,0
req_000023,0
req_000024,1
req_000025,0
req_000026,0
req_000027,0
req_000028,1
req_000029,0
req_000030,0
req_000031,0
req_000032,0
req_000033,0
req_000034,1
req_000035,1
req_000036,0
req_000037,0
req_000038,1
req_000039,0
req_000040,0
req_000041,0
req_000042,1
req_000043,1
req_000044,0
req_000045,1
req_000046,1
req_000047,0
req_000048,0
req_000049,0
req_000050,0
req_000051,0
req_000052,0
req_000053,0
req_000054,0
req_000055,1
req_000056,0
req_000057,1
req_000058,0
req_000059,0
req_000060,0
req_000061,0
req_000062,1
req_000063,0
req_000064,0
req_000065,0
req_000066,0
req_000067,0
req_000068,1
req_000069,0
req_000070,0
req_000071,0
req_000072,0
req_000073,0
req_000074,0
req_000075,0
req_000076,0
req_000077,0
req_000078,0
req_000079,0
req_000080,0
req_000081,0
req_000082,0
req_000083,0
req_000084,0
req_000085,0
req_000086,0
req_000087,0
req_000088,0
req_000089,0
req_000090,0
req_000091,0
req_000092,0
req_000093,0
req_000094,1
req_000095,0
req_000096,0
req_000097,1
req_000098,1
req_000099,1
req_000100,1
req_000101,0
req_000102,0
req_000103,0
req_000104,1
req_000105,1
req_000106,0
req_000107,1
req_000108,0
req_000109,0
req_000110,0
req_000111,1
req_000112,1
req_000113,0
req_000114,0
req_000115,0
req_000116,0
req_000117,0
req_000118,0
req_000119,0
req_000120,0
req_000121,0
req_000122,0
req_000123,0
req_000124,0
req_000125,0
req_000126,1
req_000127,0
req_000128,1
req_000129,0
req_000130,0
req_000131,1
req_000132,0
req_000133,1
req_000134,0
req_000135,0
req_000136,0
req_000137,0
req_000138,1
req_000139,0
req_000140,0
req_000141,0
req_000142,0
req_000143,1
req_000144,0
req_000145,0
req_000146,0
req_000147,0
req_000148,0
req_000149,0
req_000150,0
req_000151,0
req_000152,0
req_000153,1
req_000154,1
req_000155,1
req_000156,0
req_000157,1
req_000158,1
req_000159,0
req_000160,1
req_000161,1
req_000162,0
req_000163,0
req_000164,1
req_000165,1
req_000166,0
req_000167,0
req_000168,0
req_000169,0
req_000170,1
req_000171,0
req_000172,1
req_000173,1
req_000174,0
req_000175,0
req_000176,0
req_000177,0
req_000178,1
req_000179,0
req_000180,0
req_000181,0
req_000182,0
req_000183,0
req_000184,0
req_000185,1
req_000186,0
req_000187,0
req_000188,0
req_000189,0
req_000190,1
req_000191,0
req_000192,0
req_000193,0
req_000194,0
req_000195,0
req_000196,0
req_000197,0
req_000198,0
req_000199,0
req_000200,0
req_000201,1
req_000202,0
req_000203,0
req_000204,0
req_000205,1
req_000206,1
