request_id,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
req_000001,90000,1,1,1,24,-1,-1,0,0,-1,0,45290,43743,38674,41164,26638,36761,20153,41307,29828,30379,15047,35049
req_000002,90000,2,3,2,22,2,2,-2,1,0,-2,36912,46864,0,44698,40492,0,1114,156,0,794,28672,0
req_000003,90000,2,3,1,24,0,0,0,0,-2,-1,9945,8235,5908,7358,0,5319,5817,6047,2424,4040,0,1652
req_000004,260000,1,2,1,25,-1,-1,0,0,0,0,61896,53063,47240,46179,59578,49402,51674,47224,14282,34706,47150,29495
req_000005,160000,2,2,1,24,0,-2,-2,-1,-1,-1,36638,0,0,34486,32705,45254,16440,0,0,24047,27109,28553
req_000006,30000,1,1,1,23,2,-2,2,-2,0,0,10643,0,8516,0,7849,9191,760,0,532,0,2445,5704
req_000007,80000,2,1,2,27,-1,-1,0,0,0,0,12552,18265,16445,19030,15792,17058,2676,9994,12974,15384,5676,16732
req_000008,280000,1,2,1,26,0,0,0,0,-1,-1,3099,2091,3583,2654,2933,2805,1531,839,2535,1732,1102,1577
req_000009,120000,1,2,2,25,-1,0,0,-2,0,-2,92798,82929,77195,0,79583,0,18348,52453,33856,0,53872,0
req_000010,130000,1,1,2,29,0,-1,-1,-1,-1,-1,17582,20395,22311,22481,19275,19596,9381,7955,5573,15542,12350,6471
req_000011,170000,1,1,1,24,-1,-1,-1,-1,-1,-1,43737,36476,41786,41798,30608,38715,5375,12576,32956,34162,24489,18732
req_000012,70000,1,1,1,25,-1,0,0,1,1,2,20091,22303,20164,18288,17878,19335,16669,6073,2316,950,157,121
req_000013,120000,1,1,2,29,-2,0,0,0,0,-1,0,74710,80901,79687,69793,68311,0,42578,71337,71754,49881,61904
req_000014,310000,1,2,1,23,0,-1,0,1,0,0,19510,15597,23007,19604,13564,16591,12201,12510,19514,370,11972,13026
req_000015,180000,1,1,2,25,0,0,-2,-1,-1,-1,41649,47542,0,43569,39752,37558,15364,17197,0,20047,29428,11335
req_000016,90000,1,2,1,22,0,-1,-2,-1,0,-1,21622,22160,0,15121,19517,17849,15690,16548,0,12458,7444,8915
req_000017,20000,2,2,1,24,0,-2,-1,-1,-1,-2,7528,0,8136,6685,6827,0,4712,0,4829,6425,5641,0
req_000018,50000,2,2,1,27,0,1,1,1,1,1,30144,27231,27640,29462,24753,27827,21776,2281,1779,2638,71,2830
req_000019,210000,1,2,1,27,1,-2,0,-1,-1,-1,39915,0,47013,48955,38378,40684,5076,0,27349,35777,24946,14286
req_000020,130000,2,2,1,29,1,-2,0,-2,0,-1,71084,0,61772,0,50488,52309,1809,0,18842,0,32649,49068
req_000021,400000,1,3,2,25,1,-2,1,2,1,0,286913,0,187704,268405,175653,159159,43793,0,28399,14462,61929,102121
req_000022,120000,2,3,2,28,0,0,0,0,-1,-1,1791,1769,1937,1495,1954,1553,864,1292,1000,1481,830,1119
req_000023,180000,2,3,2,25,0,0,0,-2,0,0,83433,71436,66964,0,43163,82208,37757,29172,62602,0,18193,25536
req_000024,40000,2,2,1,26,-1,0,0,1,1,2,3062,2358,1667,3169,3055,2310,2495,1664,875,288,133,331
req_000025,80000,2,1,1,29,2,1,0,-2,-1,0,37285,36642,40316,0,45149,48067,4145,8417,17573,0,35804,35699
