LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
70000,2,2,1,35,0,0,-2,0,0,0,1469,1318,0,1255,1383,1122,1321,549,0,173,796,895,0
410000,2,1,1,39,0,0,-1,-1,0,0,236166,221419,197288,245178,186654,204587,151572,133967,74757,190548,129741,199537,0
60000,2,2,1,33,-2,-1,-2,0,0,0,0,12865,0,18621,13880,13231,0,11422,0,10481,4512,10221,0
100000,2,2,1,49,2,1,1,1,-2,2,13800,12731,12454,10895,0,11456,917,837,659,1701,0,809,1
50000,2,2,1,36,-1,-1,-1,-2,0,0,23909,17721,19591,0,17632,19939,15651,10264,12534,0,8815,9964,0
30000,1,2,2,34,0,0,0,0,0,0,2197,2399,2217,2338,2132,2891,1785,1551,600,1852,1071,2302,0
370000,1,2,1,45,0,0,-1,-1,-1,-1,52655,60367,62013,61549,55765,62159,25167,19199,35593,56605,7792,39466,0
130000,2,2,1,31,0,0,0,-1,-1,-1,71167,79166,85323,66452,78984,91936,35195,50007,53687,37625,41981,70752,0
240000,1,1,2,39,1,-2,0,0,0,0,161966,0,138748,150594,176764,147481,15985,0,42990,51028,63464,57341,0
510000,1,1,2,33,-1,-1,-1,-1,-1,-1,19882,19738,22183,24946,20481,20020,9912,18406,9776,14111,9818,5745,0
160000,2,1,1,35,0,0,0,0,0,-1,92722,90814,100124,103375,73166,88843,67286,11616,5738,51179,43621,16332,0
110000,2,1,1,37,-1,-1,-2,0,0,0,31402,27097,0,27826,32247,24032,13833,18251,0,25904,18832,5182,0
50000,1,1,2,32,0,0,0,1,1,2,32157,31555,34125,21589,33683,29657,11767,10958,20792,1076,2230,1559,1
90000,1,2,1,53,-1,-2,-1,-1,-1,-1,43059,0,34149,25170,38350,32572,12784,0,26250,20861,22930,24906,0
130000,1,1,2,40,-2,0,0,-2,-1,-1,0,29393,32845,0,29573,29201,0,14638,22312,0,17682,22924,0
120000,1,3,2,38,-1,-1,-1,-1,-1,0,17604,13753,15388,16018,7215,15196,13958,13551,12726,4788,7075,10802,0
150000,1,2,2,35,0,-1,-1,-1,-1,0,80447,88244,114555,86504,73954,99349,56863,80941,80495,31544,43174,53207,0
70000,2,1,2,38,0,0,1,0,0,0,28892,30360,22600,25996,23452,16817,18019,11425,1528,24539,8206,10442,0
70000,1,1,1,36,0,0,0,0,0,0,21934,19329,18273,16148,20823,17525,13836,13429,10810,6434,18778,17101,0
100000,2,2,1,36,0,0,0,0,-1,-1,44149,34856,40286,48435,43639,38345,40519,31597,33879,6628,39805,33801,0
50000,1,1,2,31,0,2,1,0,0,-1,4477,3756,4187,3748,2364,3550,2849,743,167,2023,1753,2712,0
50000,2,1,2,35,0,-1,-2,0,0,0,24565,25769,0,29691,26466,21125,15809,18593,0,16355,13557,18812,0
220000,2,2,2,30,0,-1,-1,0,0,-1,94650,99688,86610,82593,87201,83733,57457,27518,8490,49811,51039,52770,0
90000,2,1,2,36,0,2,2,1,0,0,46375,33376,41414,31134,37828,37580,35453,458,601,9713,19322,26038,1
730000,2,1,2,58,-1,-1,-1,-1,-1,-1,422457,413705,366246,386727,368784,364888,371858,201685,283374,269145,248107,138373,0
280000,2,3,2,40,-2,-2,0,0,-2,0,0,0,71274,61513,0,48108,0,0,58636,36892,0,42315,0
160000,1,2,1,35,0,-2,-1,0,-1,-2,72205,0,88288,72805,71707,0,41898,0,52265,55146,41679,0,1
80000,1,2,2,40,0,-1,0,0,-1,-1,17681,17390,14468,21964,14572,21347,12515,8706,8177,6251,7476,14316,0
190000,1,1,1,61,1,1,1,-2,-1,-1,99241,95919,73514,0,85218,75509,9862,12425,22,0,51978,30554,0
40000,1,3,2,32,2,3,2,2,2,1,10098,9274,10386,10739,11735,10377,3179,342,34,74,771,1939,1
80000,1,1,2,30,-1,-1,-1,0,0,0,10938,15104,12316,8927,13227,10951,8052,13089,8801,3979,8121,8428,0
40000,2,2,2,43,0,-2,-1,0,0,0,23216,0,19981,12822,13521,15902,4178,0,14575,6039,777,13416,0
80000,2,1,2,34,0,-2,-1,-2,-1,-1,33497,0,32488,0,29182,32272,32874,0,16173,0,14631,12724,0
80000,1,1,2,48,0,-1,0,0,-2,0,28613,29806,22271,20928,0,24697,8631,11781,11452,17020,0,17624,1
150000,2,1,1,30,0,-1,-1,-2,-1,-1,127916,87987,109420,0,108672,98244,120760,55360,74653,0,102165,86707,0
270000,1,2,1,36,-1,-1,0,-1,-1,-1,90791,74580,71642,76082,78969,73314,58294,33753,53301,35014,76706,55153,0
150000,2,2,2,37,0,0,0,1,0,0,70604,58955,63825,58204,59725,50335,61855,47192,10187,121,16855,45984,0
60000,2,2,1,36,0,0,0,0,1,0,9832,11332,12209,10670,12074,9860,6535,8643,9008,4666,34,2540,1
80000,2,2,1,36,0,-1,0,-1,-1,-1,22139,17821,19426,15133,12554,13272,19179,10702,6825,6105,9771,5087,1
70000,2,3,2,45,-1,0,0,0,0,0,28150,26615,23915,23856,22496,29663,21089,9063,19547,22119,19285,19685,0
40000,1,2,2,42,0,0,0,-2,-1,0,16801,11686,7472,0,14902,15809,13320,11293,4860,0,11270,6898,0
60000,2,2,2,34,-2,0,2,2,1,1,0,18422,17276,16549,13647,13182,0,10790,2750,93,1583,834,0
150000,1,2,1,38,0,0,1,1,-2,2,11583,12347,14655,11432,0,9797,6312,8395,655,93,0,491,0
70000,1,3,1,42,0,0,0,-1,0,2,20271,18899,20258,16540,18517,14357,15472,18020,12782,10696,9017,1545,0
370000,2,2,2,40,0,0,-1,0,-1,-1,96479,114404,89867,109927,84030,92367,28966,25389,20658,71647,36472,56407,1
60000,2,1,2,37,0,0,-1,-1,0,0,5548,4097,4993,6004,6146,2958,1843,3305,3530,2998,4881,2748,0
300000,2,2,1,34,0,-1,-1,-1,-1,0,140141,135509,99898,136924,124657,134207,126034,111687,95819,56091,45175,33325,0
140000,1,2,2,34,1,2,2,2,1,2,57561,47536,40966,55929,52489,57981,289,6028,6983,3114,928,2249,1
80000,2,1,3,34,0,-1,-1,0,0,0,17242,20701,23312,20779,21243,21932,10059,7456,15118,13994,1227,4234,0
30000,2,2,1,30,-2,0,-2,0,0,0,0,10396,0,16111,8633,12672,0,8829,0,11375,6343,2117,0
110000,2,2,2,33,0,1,1,0,0,0,28294,29835,28557,20801,28738,26760,27264,13,4523,13870,23096,20699,1
100000,2,1,1,38,0,0,0,0,-1,-1,17365,15800,25169,21513,20061,21476,6268,13336,9694,14344,9910,12015,0
60000,1,1,3,36,2,1,1,0,-2,0,10065,11023,10007,12837,0,12712,1210,341,85,9048,0,8544,1
220000,2,2,1,35,1,0,0,-1,-1,-1,134689,155883,141828,149069,137798,136509,3230,124460,97881,96310,89593,63653,0
70000,2,1,1,30,0,-2,0,-2,-2,0,5063,0,5911,0,0,4999,2475,0,4076,0,0,2644,0
140000,2,2,2,30,1,0,1,-2,3,1,18105,21957,19221,0,16307,15536,1267,14299,1249,0,1001,486,1
90000,1,1,2,35,0,0,0,-1,-1,-1,40260,22113,29534,24422,23052,31227,24171,15630,6975,12225,10190,20529,0
20000,1,2,1,38,-2,0,2,0,1,-2,0,1259,1657,1789,1754,0,0,618,428,1516,59,0,0
70000,1,3,2,62,0,0,-1,1,0,0,38106,45822,40034,41318,48655,37907,11369,44058,4493,3155,28886,26451,0
270000,2,1,2,32,1,-2,0,-1,0,0,101724,0,56732,62093,52591,69288,2640,0,29219,34889,39954,48789,0
140000,1,1,2,37,0,0,0,-1,-1,0,50335,34052,36624,33009,33845,37682,48164,25987,29362,14088,30574,22246,0
90000,2,1,2,32,0,0,-1,-1,-1,-1,24237,30040,25333,26158,25927,27674,17448,25445,19823,10443,13409,17224,0
20000,1,1,1,49,0,0,0,-1,0,0,6285,5816,4029,4971,4698,4720,3750,5056,2114,3590,3062,1534,1
80000,2,2,2,37,0,0,0,0,-1,0,17221,20915,19428,23020,19670,19150,10874,14212,5978,19707,11765,13024,0
40000,1,2,1,35,0,0,-1,-1,-1,-1,29054,26812,25491,32878,23810,24166,16268,24746,8421,28706,10810,10637,0
50000,2,3,1,34,-2,-1,-1,0,-2,0,0,31926,27699,22699,0,25634,0,19840,18544,15670,0,21107,0
100000,1,2,2,31,1,0,-1,0,0,0,31911,37138,28192,20626,35504,28927,132,9134,3182,16870,20454,12655,1
70000,2,2,2,34,1,1,1,0,0,0,25833,31343,29939,30085,24624,24121,1169,350,97,20287,18769,6770,1
50000,2,2,2,47,1,0,-1,1,2,2,20389,20971,21072,20994,22895,21233,1370,16316,19327,3922,1773,324,0
150000,2,1,1,30,-1,0,0,-1,-1,-2,94057,114290,113788,101917,121186,0,92676,13352,71050,25602,31304,0,0
60000,2,1,1,44,0,1,1,0,0,-1,37808,33756,33554,34724,37544,44049,26075,696,2844,18682,27219,14394,1
100000,1,1,1,32,0,0,-2,0,0,0,37617,44077,0,33296,32328,40740,9597,16153,0,19374,24014,35978,0
