LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
140000,2,2,2,54,0,-1,0,0,0,0,112057,98311,81659,87456,91270,72364,63910,64740,21738,25738,84702,56231,1
160000,2,2,2,35,0,0,-2,0,-1,-1,41352,46821,0,48632,44385,36570,28959,38829,0,42895,34851,29272,0
200000,2,1,1,49,-2,-2,-1,-1,-1,-1,0,0,127958,104917,108848,134446,0,0,23154,48055,49153,62649,0
80000,1,2,2,42,-2,-2,2,1,2,2,0,0,29470,22913,27217,23237,0,0,2274,4172,8761,924,0
70000,1,1,2,33,0,0,0,0,0,0,13249,9472,13465,14458,11722,12274,8493,7252,11844,10526,10302,6387,0
100000,2,2,1,59,-1,-2,0,-1,0,0,36934,0,20290,30237,22007,35095,31418,0,11942,9651,5928,25715,0
130000,1,2,2,42,0,1,1,0,0,0,30032,34549,25395,23766,23725,34045,10705,2644,988,21812,13315,33665,0
130000,2,1,1,30,0,0,0,-1,-1,-1,30368,26812,36516,25914,28158,34726,18082,7249,9893,11674,13846,24527,1
70000,2,2,1,39,1,0,0,-2,0,0,14614,14779,19402,0,19216,17647,1735,11716,14281,0,14749,8286,0
180000,2,2,2,31,-1,-1,-1,0,0,-1,33043,39104,27468,29815,33081,38117,14494,17300,13048,19759,10278,28234,0
70000,1,2,2,30,0,-2,0,2,2,5,5400,0,5473,6581,6016,5531,3432,0,4390,348,295,205,1
310000,2,3,2,39,0,0,0,0,-1,-1,116043,111817,105297,125005,134051,106759,46914,6418,69323,36402,122159,58351,0
470000,1,1,2,44,0,0,0,0,0,0,119366,91172,89525,95787,81454,103902,102008,33720,65860,39754,52511,61810,0
130000,2,2,2,52,2,2,3,3,2,0,109787,111485,90311,84252,102970,67865,4079,126,1693,593,1577,57332,1
60000,2,2,1,50,-2,-1,-2,-1,-1,-1,0,4752,0,4556,3786,4638,0,4024,0,4301,3185,2775,0
80000,2,2,1,39,-1,-1,-1,-1,-2,0,30441,26364,31195,32467,0,31912,23499,4321,20402,3914,0,19443,0
50000,1,2,1,33,0,0,1,0,1,1,19909,22162,14864,20746,16390,15446,3692,19655,890,13470,2369,1430,0
90000,1,2,2,30,1,2,2,0,0,0,31065,32643,42245,27107,30607,32390,9589,3934,2419,21961,27279,17771,1
60000,1,2,1,38,0,1,1,0,1,0,12473,10718,9604,11820,10598,10468,10208,1679,246,1398,463,9706,0
60000,2,3,1,36,-1,0,0,0,0,0,38723,41127,50115,44988,46732,34547,5180,37593,31449,40885,34415,30406,0
30000,2,1,2,30,0,0,0,-1,0,0,4729,4152,4316,3587,4662,4380,3468,3196,1310,2487,3736,2149,0
90000,1,2,1,35,0,0,0,0,0,0,3387,3641,3837,3551,2242,3027,2571,1574,1558,689,1260,2029,1
150000,2,1,2,32,0,0,-1,-1,-2,0,111094,118664,86336,94388,0,80746,46595,70617,11032,72221,0,19214,0
70000,1,2,2,49,1,2,2,-2,0,-1,19788,19869,15658,0,14750,17984,5807,3596,519,0,6749,6284,0
50000,2,3,1,38,0,0,0,0,0,0,5918,3953,5566,3539,4786,4098,4882,1189,4261,3259,1162,3656,0
70000,1,3,2,32,-2,-1,0,0,0,0,0,40048,37203,43574,25443,44385,0,29330,30188,36556,15505,31102,0
