LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
50000,2,2,2,33,0,0,-1,-1,-1,0,22633,17293,17849,20263,15407,17739,18738,9367,6655,15902,11067,7136,0
60000,2,2,2,38,0,0,-1,-1,-1,-1,29621,26954,32753,21373,25511,28278,13807,20897,19024,18181,16928,11092,0
370000,2,1,2,29,1,1,1,2,0,0,214127,217788,166503,227720,191675,181172,6977,31627,39222,8058,93626,60176,1
40000,2,2,2,42,-1,-1,0,-1,0,0,927,1175,786,989,771,653,891,676,567,914,614,431,0
50000,2,2,1,27,0,0,0,0,-1,-1,5058,4142,4509,4436,3119,3312,3197,970,2460,2502,2425,2672,0
30000,2,2,1,27,0,0,0,0,1,2,15722,15972,12889,13020,10474,12713,9664,9337,8315,7421,611,1305,1
50000,1,1,2,34,0,1,2,0,3,-2,11449,15577,13028,10515,13934,0,9971,61,206,4950,4257,0,0
80000,2,2,1,55,-1,-1,-1,0,0,-1,10271,10529,10615,13445,8938,10289,3943,4056,7732,8930,3312,7215,0
160000,1,2,2,43,1,1,0,0,0,0,62715,47230,61214,47487,54075,33780,718,6061,35824,20107,19003,13320,0
70000,2,2,2,50,0,-1,0,-1,-1,-1,9448,8976,8097,8399,9003,7899,2086,6062,3682,6231,4930,3023,1
500000,2,2,1,38,0,0,0,0,0,0,123377,178595,157303,193545,152397,148447,51602,150478,81990,122880,49889,134047,0
80000,2,1,2,26,0,0,0,0,0,0,29862,29241,32949,33253,33111,32888,17679,18162,17517,19969,17286,13104,1
140000,1,2,2,34,-1,-1,-1,0,-1,-1,16226,15617,14003,15750,11776,16697,13140,8089,8788,4650,6114,4136,0
100000,1,2,1,31,0,2,0,0,1,2,65761,55503,41351,42860,53727,52603,61472,6919,32023,34797,10469,9865,0
100000,1,2,1,29,0,0,1,0,0,0,66183,48206,58388,48271,48239,42114,50065,22813,1899,35244,36922,16534,0
210000,2,1,1,48,0,-1,-1,0,0,0,86341,92254,93139,90495,101679,71480,49313,12261,61450,24071,58904,55117,0
60000,2,2,1,33,-1,-2,0,0,0,0,13000,0,15207,16931,10864,11063,5089,0,8912,14723,8272,7551,0
30000,2,2,2,39,0,0,0,0,0,0,28846,27335,25700,25270,19046,20815,11363,20794,5533,24188,11502,10447,0
70000,2,1,1,25,-1,-1,-1,-1,-1,-1,17335,22248,22387,16023,20233,17840,14671,20335,18553,8118,11521,13891,0
30000,1,1,2,35,0,0,0,0,0,-1,6755,4133,6464,6385,4552,4793,3703,2659,5570,5500,4158,2665,0
110000,2,2,1,33,-1,0,-2,1,0,0,26538,24852,0,25446,23059,20566,24012,7545,0,204,8799,11962,0
130000,2,4,1,36,0,1,1,-2,0,0,28952,36615,38188,0,36262,25525,2803,453,9050,0,26818,16043,1
250000,2,3,1,35,-1,-1,-2,-1,-1,0,16808,16320,0,13052,17153,20099,6656,13641,0,6575,5571,14453,0
90000,2,2,2,32,1,0,0,1,0,0,73123,67091,70691,57257,65690,48057,513,17866,47967,4030,35190,38902,0
70000,2,1,1,47,2,2,0,0,-1,0,11798,18154,15037,14569,16999,13431,3989,3389,9020,8946,4373,5700,0
70000,1,2,1,31,0,0,0,0,0,0,22230,16500,22043,14194,15362,17200,14666,13621,20753,6183,9923,14371,0
100000,1,3,2,49,0,0,0,0,0,1,23555,25073,26010,31604,19880,14877,22310,21157,20377,9543,5514,2986,0
30000,2,2,1,52,-1,-1,-1,-1,-1,0,6845,8296,8015,9798,5535,7117,5063,6837,7367,5720,4695,5527,0
190000,2,2,2,28,0,0,0,0,0,1,90358,71929,94675,86360,116612,74391,48918,5580,63092,77362,42456,22175,1
60000,2,3,2,23,1,1,0,0,0,-2,12473,9986,11724,13607,14644,0,1998,2415,6165,10429,13073,0,1
140000,2,2,1,34,0,-1,0,-1,0,-1,48870,36492,40684,40258,34433,43249,27527,24846,23153,17303,20513,27144,0
200000,2,3,1,24,-1,0,-2,-1,-1,0,169553,194865,0,169767,141034,143855,90236,130409,0,138552,111482,94957,0
80000,1,2,2,35,0,1,1,0,0,0,52432,56751,41939,61755,52544,32307,19537,3492,152,37008,31067,24052,1
140000,1,2,2,36,0,1,2,2,5,6,46098,80105,82478,70229,68981,63453,41709,927,10026,1760,12611,4214,0
90000,1,1,2,47,0,-2,0,-1,-1,0,18273,0,16298,18044,13678,14525,14233,0,13903,11341,6815,9135,0
290000,2,1,2,34,0,-2,0,0,-2,0,111313,0,111204,103075,0,101486,15916,0,70919,90739,0,47687,0
50000,1,2,1,49,1,2,0,0,0,0,24460,15000,17310,22511,15108,13984,3487,5139,13823,6324,8739,12770,0
170000,2,2,1,23,0,0,0,0,2,0,51328,60907,49579,47661,46522,50975,45373,14771,34641,41655,1528,36251,0
40000,2,2,1,30,1,0,0,0,0,0,8065,6121,5762,6216,5805,5573,537,5340,3592,6001,4069,5556,0
150000,2,1,2,23,0,0,0,0,0,0,13335,13613,10369,14511,14478,8941,4410,12229,9621,12508,5795,3902,0
60000,1,2,2,29,0,2,2,2,1,1,28603,32688,30034,25353,30248,33115,15070,803,4172,4304,481,1062,1
60000,1,2,2,37,-1,0,-1,0,0,1,2723,3117,2854,3158,2531,2665,2269,2141,540,1963,1779,85,0
90000,1,4,2,39,-2,-1,-1,-1,-1,-1,0,65099,76183,70457,45774,53108,0,32010,46696,60840,44290,51077,0
220000,2,2,1,36,0,0,-2,0,0,-1,70723,63857,0,61863,64732,49077,50828,58106,0,11318,39425,37903,0
200000,1,1,2,34,0,0,0,0,0,0,50041,74665,60112,57686,44589,40194,29764,19210,28617,43833,24704,8380,0
20000,2,3,2,36,1,1,0,0,0,0,8686,7997,7043,8211,7580,8399,157,31,4304,4505,3964,6224,1
210000,2,3,1,41,0,0,0,0,-2,0,107836,82438,86336,66252,0,74954,70364,50422,71023,56931,0,41973,0
390000,2,1,1,49,0,-2,0,2,1,-2,150109,0,158117,135716,137594,0,48290,0,121144,7180,4525,0,0
220000,2,1,2,31,-2,-2,-1,-2,-1,0,0,0,35027,0,42811,34959,0,0,19625,0,33942,5899,0
30000,2,3,1,34,-2,-1,0,0,-1,0,0,4845,6777,4846,5313,5839,0,2665,4820,1805,3171,3051,0
100000,1,1,1,31,-1,-2,-2,0,0,0,4519,0,0,4661,4343,3657,3260,0,0,1264,1002,838,0
